Date,Open,High,Low,Close,Adj Close,Volume
2012-06-01,55.220001,60.750000,54.689999,58.500000,50.697018,165413900
2012-07-01,58.889999,59.310001,50.889999,51.090000,44.439045,165278500
2012-08-01,51.209999,55.029999,50.320000,54.299999,47.231167,120000500
2012-09-01,54.400002,56.750000,52.580002,55.410000,48.196651,133898300
2012-10-01,55.720001,58.290001,55.340000,56.000000,48.907146,107598600
2012-11-01,55.860001,57.240002,51.090000,54.389999,47.501072,137959500
2012-12-01,54.560001,55.820000,53.279999,54.240002,47.370071,94058200
2013-01-01,54.880001,56.689999,51.360001,55.209999,48.409401,161036700
2013-02-01,55.740002,58.259998,52.509998,53.450001,46.866196,120496500
2013-03-01,53.340000,57.310001,52.880001,57.209999,50.163052,109815200
2013-04-01,57.160000,63.950001,57.009998,59.930000,52.751980,157336600
2013-05-01,59.959999,64.900002,58.869999,62.630001,55.128593,119800600
2013-06-01,62.889999,66.190002,60.950001,65.480003,57.637241,103889300
2013-07-01,65.889999,73.660004,64.650002,72.849998,64.690346,116538400
2013-08-01,73.230003,73.669998,71.000000,71.739998,63.704678,70393400
2013-09-01,71.809998,75.879997,70.400002,71.610001,63.589245,88995300
2013-10-01,71.739998,75.489998,66.720001,68.260002,60.842739,154282100
2013-11-01,68.269997,74.989998,67.949997,74.480003,66.386871,77403500
2013-12-01,73.639999,75.540001,70.199997,75.300003,67.117752,87821400
2014-01-01,74.910004,77.330002,70.839996,72.279999,64.671509,111391100
2014-02-01,72.139999,77.709999,69.570000,77.269997,69.136246,100618500
2014-03-01,76.699997,83.320000,75.650002,81.989998,73.359398,104454400
2014-04-01,82.349998,83.050003,73.610001,75.040001,67.383560,112712300
2014-05-01,75.050003,79.739998,74.260002,79.629997,71.505264,73562500
2014-06-01,79.769997,82.540001,77.529999,81.750000,73.408943,75611400
2014-07-01,81.739998,87.239998,80.550003,81.050003,73.122391,87663600
2014-08-01,81.139999,87.230003,78.739998,86.680000,78.201714,69078600
2014-09-01,87.120003,88.849998,85.580002,86.250000,77.813782,67055400
2014-10-01,86.000000,95.669998,80.720001,95.010002,86.081459,108326400
2014-11-01,95.449997,99.419998,93.010002,98.629997,89.361267,68331900
2014-12-01,98.750000,104.000000,95.750000,101.089996,91.590096,82445400
2015-01-01,101.500000,114.320000,98.459999,106.250000,96.628136,100742400
2015-02-01,106.730003,116.580002,105.070000,113.629997,103.339828,76172000
2015-03-01,113.629997,123.760002,111.650002,118.290001,107.577820,83244700
2015-04-01,119.519997,122.320000,111.120003,111.400002,101.650749,86883100
2015-05-01,112.290001,121.849998,111.739998,120.209999,109.689728,72260800
2015-06-01,120.540001,124.110001,115.360001,122.000000,111.323059,106449200
2015-07-01,122.949997,126.050003,116.660004,121.400002,111.244751,95034600
2015-08-01,121.610001,126.209999,95.000000,115.699997,106.021568,84232500
2015-09-01,113.360001,125.120003,111.010002,116.010002,106.305664,94372800
2015-10-01,115.940002,125.989998,110.070000,117.779999,108.394424,105913800
2015-11-01,118.639999,119.949997,109.610001,112.709999,103.728455,82097600
2015-12-01,113.529999,121.089996,113.050003,117.639999,108.265579,76147300
2016-01-01,116.910004,117.889999,107.510002,115.160004,106.440979,88345100
2016-02-01,114.830002,122.260002,108.830002,119.099998,110.082664,72337900
2016-03-01,119.489998,131.100006,119.370003,128.899994,119.140701,70857500
2016-04-01,128.690002,135.110001,125.260002,131.679993,122.212463,71253100
2016-05-01,132.610001,134.750000,128.529999,133.669998,124.059410,55534400
2016-06-01,133.580002,141.309998,133.020004,141.199997,131.048019,76424000
2016-07-01,141.160004,144.479996,139.320007,143.199997,133.509445,71163700
2016-08-01,143.419998,144.160004,135.550003,136.050003,126.843330,50523900
2016-09-01,136.820007,141.779999,132.389999,140.000000,130.526016,67502400
2016-10-01,139.350006,146.360001,133.029999,141.330002,132.374466,82024500
2016-11-01,141.509995,159.759995,136.220001,158.320007,148.287888,96049600
2016-12-01,159.119995,164.000000,156.229996,160.039993,150.495773,76784500
2017-01-01,161.130005,163.800003,156.089996,162.100006,152.432907,72828900
2017-02-01,162.750000,166.759995,156.490005,165.380005,155.517334,72701100
2017-03-01,166.720001,172.139999,162.740005,164.009995,154.229004,84728500
2017-04-01,164.619995,176.070007,164.250000,174.880005,165.063721,61871600
2017-05-01,175.000000,178.889999,166.649994,175.179993,165.346878,63390800
2017-06-01,175.779999,188.660004,175.190002,185.419998,175.012100,65419100
2017-07-01,186.289993,193.000000,183.860001,191.809998,181.791077,55903600
2017-08-01,193.399994,199.490005,190.630005,198.899994,188.510773,50905300
2017-09-01,199.789993,200.759995,188.250000,195.850006,185.620071,57668800
2017-10-01,196.589996,212.770004,186.000000,210.220001,199.995575,81206400
2017-11-01,211.619995,228.750000,208.919998,211.130005,200.861313,69053700
2017-12-01,228.889999,231.770004,218.190002,220.460007,210.445694,55743700
2018-01-01,221.020004,250.789993,220.000000,236.779999,226.024368,82310600
2018-02-01,235.259995,237.820007,208.479996,226.160004,215.886765,80192600
2018-03-01,225.699997,231.270004,212.500000,214.000000,204.279114,79400300
2018-04-01,218.460007,241.669998,214.630005,236.399994,226.408783,72689800
2018-05-01,237.000000,249.169998,228.229996,241.509995,231.302780,59234200
2018-06-01,243.740005,256.730011,241.289993,245.339996,234.970932,55299900
2018-07-01,245.000000,259.010010,244.119995,253.220001,243.375717,49156400
2018-08-01,256.100006,270.170013,252.229996,268.459991,258.023254,47631000
2018-09-01,268.000000,271.160004,257.480011,266.040009,255.697342,53229200
2018-10-01,267.250000,272.809998,253.320007,261.350006,252.037170,84593100
2018-11-01,262.920013,285.450012,258.279999,281.359985,271.334106,74853800
2018-12-01,283.000000,287.940002,231.809998,249.119995,241.010681,88902900
2019-01-01,245.000000,272.440002,236.130005,270.200012,261.404510,82836100
2019-02-01,268.470001,272.489990,239.149994,242.220001,234.335312,77371500
2019-03-01,243.559998,259.250000,234.509995,247.259995,239.211227,101319700
2019-04-01,249.710007,250.199997,208.070007,233.070007,226.343781,173459600
2019-05-01,233.070007,251.179993,227.179993,241.800003,234.821838,101175300
2019-06-01,241.490005,253.490005,234.830002,244.009995,236.968048,72927300
2019-07-01,245.949997,268.690002,239.539993,249.009995,242.894653,82523900
2019-08-01,249.190002,251.580002,220.779999,234.000000,228.253265,76577600
2019-09-01,231.740005,236.559998,213.119995,217.320007,211.982910,87632100
2019-10-01,219.190002,255.720001,212.080002,252.699997,247.656418,107377000
2019-11-01,253.990005,283.000000,249.089996,279.869995,274.284149,72367800
2019-12-01,281.779999,300.000000,273.850006,293.980011,288.112549,60550900
2020-01-01,293.980011,302.540009,271.179993,272.450012,268.038788,84374200
2020-02-01,275.130005,306.709991,245.300003,254.960007,250.831955,94532600
2020-03-01,257.339996,295.839996,187.720001,249.380005,245.342300,189875500
2020-04-01,238.690002,304.000000,226.029999,292.470001,288.980988,104541700
2020-05-01,288.390015,309.660004,275.559998,304.850006,301.213318,86562000
2020-06-01,304.019989,315.839996,273.709991,294.950012,291.431458,85406800
2020-07-01,295.829987,310.970001,287.100006,302.779999,300.456482,61208700
2020-08-01,303.589996,324.570007,299.200012,312.549988,310.151520,57208300
2020-09-01,310.160004,323.820007,289.640015,311.769989,309.377472,59489700
2020-10-01,312.910004,335.649994,299.600006,305.140015,304.046112,57916400
